English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score
Beryl and Sapphire,7.34,"Boys Love, Comedy, Drama, Sci-Fi, Slice of Life",ONA,Tencent Animation & Comics,Haoliners Animation League,2307.0,6233,93,1827.0,9290,31.34043228514608
I'm glad I could keep running.,6.38,"Drama, Slice of Life",TV,"DAX Production, Twin Planet",Signal.MD,6983.0,5585,12,4420.0,12113,38.204036548323415
Magia Record: Puella Magi Madoka Magica Side Story,6.8,"Drama, Suspense",TV,"Aniplex, Houbunsha, f4samurai",Shaft,4853.0,1410,799,53185.0,152739,61.7646253792446
Pingu in the City,6.41,"Comedy, Slice of Life",TV,"NHK, NHK Enterprises, Mattel Creations",Polygon Pictures,6840.0,6046,114,4994.0,10012,39.37483092731344
Operation Han-Gyaku-Sei Million Arthur 2nd Season,6.3,"Action, Adventure, Fantasy",TV,"Square Enix, Sotsu, Genco, Lantis, Magic Capsule, Fields, bilibili, Bandai Namco Arts, Happinet",J.C.Staff,7387.0,4730,19,4190.0,18587,37.59404983389247
After School Dice Club,6.7,Comedy,TV,"Genco, MediaNet, Nippon Columbia, Ai Addiction, Shogakukan, ABC Animation, Happinet, HOBBY BASE Yellow Submarine",LIDENFILMS,5355.0,2962,81,19947.0,48004,52.571579882750854
MFKZ,7.09,"Action, Sci-Fi",Movie,Ankama,"Studio 4°C, Ankama Animations",3573.0,4477,94,9661.0,20920,46.399252946259914
The Magnificent Kotobuki,6.84,"Action, Adventure",TV,"Digital Frontier, Bandai Namco Arts","WAO World, GEMBA",4668.0,3661,87,10362.0,32314,46.71461210139261
A Destructive God Sits Next to Me,6.65,Comedy,TV,"Toei Video, AT-X, Being, Crunchyroll, Yomiuri TV Enterprise, Kadokawa, JY Animation, MAGNET, Video Market",EMT Squared,5575.0,2707,259,19969.0,57280,52.51258687350752
The Royal Tutor Movie,7.34,Comedy,Movie,Sotsu,Tear Studio,2341.0,4317,40,8857.0,22826,45.91688955246957
Azur Lane the Animation,6.28,"Action, Sci-Fi",TV,"Frontier Works, Sotsu, Nitroplus, TOHO animation, i0+, Yostar Pictures, Stray Cats",Bibury Animation Studios,7502.0,1343,960,58398.0,162902,61.893470770529326
Rascal Does Not Dream of a Dreaming Girl,8.6,"Drama, Romance, Supernatural",Movie,"Aniplex, Tokyo MX, Hakuhodo DY Music & Pictures, Nagoya Broadcasting Network, BS11, ABC Animation, Kadokawa",CloverWorks,83.0,284,9906,421528.0,665114,83.04971948819846
Stand My Heroes: Piece of Truth,5.76,"Mystery, Romance",TV,"Yomiuri Telecasting, Shochiku, Tokyo MX, BS11, JR East Marketing & Communications, Marui Group, Rakuten",M.S.C,9854.0,4090,87,6800.0,25807,41.23796982759077
Wotakoi: Love is Hard for Otaku OVA,7.94,Romance,OVA,"Aniplex, Half H.P Studio, Fujipacific Music","A-1 Pictures, Lapin Track",655.0,1143,471,96076.0,193612,68.65683622392366
Dropkick On My Devil! Episode 12,7.16,"Comedy, Supernatural",ONA,"BookLive, ibis Capital Partners, Global Solutions",Nomad,3240.0,3760,16,16271.0,30702,51.30376413399319
